KB손해보험,KB손해보험,OK금융그룹,OK금융그룹,VS,대한항공,대한항공,삼성화재,삼성화재,시즌,우리카드,우리카드,한국전력,한국전력,현대캐피탈,현대캐피탈
Vs 상대,시즌평균,Vs 상대,시즌평균,구분,Vs 상대,시즌평균,Vs 상대,시즌평균,,Vs 상대,시즌평균,Vs 상대,시즌평균,Vs 상대,시즌평균
,,,,득점,87.67,90.58,85.00,91.33,014,,,,,,
,,,,공격,50.25%,51.08%,50.00%,53.71%,014,,,,,,
,,,,오픈공격,40.12%,41.07%,46.18%,50.54%,014,,,,,,
,,,,시간차공격,60.00%,58.70%,69.23%,56.00%,014,,,,,,
,,,,이동공격,,0.00%,,72.73%,014,,,,,,
,,,,후위공격,48.32%,50.98%,50.28%,56.02%,014,,,,,,
,,,,속공,56.00%,59.24%,53.52%,56.28%,014,,,,,,
,,,,퀵오픈,58.03%,56.98%,53.33%,55.45%,014,,,,,,
,,,,서브,1.50,1.50,0.79,0.95,014,,,,,,
,,,,블로킹,2.29,2.16,2.50,2.56,014,,,,,,
,,,,디그,9.38,9.58,9.79,8.62,014,,,,,,
,,,,세트,12.04,12.34,11.00,11.88,014,,,,,,
,,,,리시브,8.92,7.84,7.33,8.05,014,,,,,,
,,,,벌칙,0.00,0.00,0.00,0.00,014,,,,,,
,,,,범실,24.17,26.25,22.17,24.25,014,,,,,,
87.00,90.94,,,득점,90.83,90.58,,,014,,,,,,
49.67%,50.01%,,,공격,51.97%,51.08%,,,014,,,,,,
43.49%,41.90%,,,오픈공격,43.35%,41.07%,,,014,,,,,,
47.37%,66.33%,,,시간차공격,52.94%,58.70%,,,014,,,,,,
,0.00%,,,이동공격,,0.00%,,,014,,,,,,
49.65%,51.61%,,,후위공격,55.15%,50.98%,,,014,,,,,,
65.00%,57.88%,,,속공,56.52%,59.24%,,,014,,,,,,
56.20%,56.66%,,,퀵오픈,56.44%,56.98%,,,014,,,,,,
1.13,1.75,,,서브,1.46,1.50,,,014,,,,,,
2.29,2.21,,,블로킹,2.13,2.16,,,014,,,,,,
9.08,8.97,,,디그,9.17,9.58,,,014,,,,,,
12.08,11.80,,,세트,11.79,12.34,,,014,,,,,,
5.38,6.71,,,리시브,5.96,7.84,,,014,,,,,,
0.00,0.06,,,벌칙,0.00,0.00,,,014,,,,,,
28.17,27.17,,,범실,22.67,26.25,,,014,,,,,,
,,,,득점,88.67,90.58,,,014,,,,,88.17,86.67
,,,,공격,50.96%,51.08%,,,014,,,,,50.62%,51.71%
,,,,오픈공격,40.64%,41.07%,,,014,,,,,43.85%,41.87%
,,,,시간차공격,61.54%,58.70%,,,014,,,,,68.75%,67.26%
,,,,이동공격,,0.00%,,,014,,,,,,0.00%
,,,,후위공격,50.33%,50.98%,,,014,,,,,45.99%,54.39%
,,,,속공,60.92%,59.24%,,,014,,,,,60.44%,58.33%
,,,,퀵오픈,56.59%,56.98%,,,014,,,,,56.15%,55.71%
,,,,서브,1.35,1.50,,,014,,,,,0.96,1.14
,,,,블로킹,1.39,2.16,,,014,,,,,2.26,2.64
,,,,디그,10.83,9.58,,,014,,,,,9.39,9.22
