경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
36,2017.11.07,삼성화재,0:3,61,75,1h 22m,lose,014,대한항공
41,2017.11.10,삼성화재,2:3,100,111,2h 09m,lose,014,대한항공
73,2017.12.02,삼성화재,2:3,104,113,2h 08m,lose,014,대한항공
112,2017.12.28,삼성화재,3:2,110,98,2h 07m,win,014,대한항공
145,2018.01.24,삼성화재,3:0,75,54,1h 16m,win,014,대한항공
195,2018.02.27,삼성화재,3:0,76,59,1h 25m,win,014,대한항공
218,2018.03.18,삼성화재,1:3,92,99,1h 59m,lose,014,대한항공
220,2018.03.20,삼성화재,3:1,99,85,1h 53m,win,014,대한항공
222,2018.03.22,삼성화재,3:1,105,97,2h 10m,win,014,대한항공
21,2017.10.28,KB손해보험,0:3,70,77,1h 29m,lose,014,대한항공
52,2017.11.17,KB손해보험,2:3,108,107,2h 15m,lose,014,대한항공
88,2017.12.12,KB손해보험,3:2,106,99,2h 03m,win,014,대한항공
122,2018.01.03,KB손해보험,3:2,113,106,2h 15m,win,014,대한항공
178,2018.02.15,KB손해보험,3:0,79,58,1h 21m,win,014,대한항공
183,2018.02.18,KB손해보험,0:3,69,75,1h 29m,lose,014,대한항공
1,2017.10.14,현대캐피탈,1:3,100,104,2h 04m,lose,014,대한항공
68,2017.11.28,현대캐피탈,3:2,106,105,2h 06m,win,014,대한항공
107,2017.12.25,현대캐피탈,0:3,59,75,1h 22m,lose,014,대한항공
136,2018.01.13,현대캐피탈,1:3,94,95,1h 55m,lose,014,대한항공
149,2018.01.27,현대캐피탈,3:0,77,64,1h 26m,win,014,대한항공
200,2018.03.02,현대캐피탈,3:1,96,86,1h 47m,win,014,대한항공
224,2018.03.24,현대캐피탈,2:3,116,110,2h 19m,lose,014,대한항공
226,2018.03.26,현대캐피탈,3:0,77,67,1h 28m,win,014,대한항공
228,2018.03.28,현대캐피탈,3:0,76,64,1h 26m,win,014,대한항공
229,2018.03.30,현대캐피탈,3:0,75,59,1h 22m,win,014,대한항공
29,2017.11.02,한국전력,3:2,122,112,2h 38m,win,014,대한항공
47,2017.11.14,한국전력,3:0,75,52,1h 15m,win,014,대한항공
81,2017.12.07,한국전력,3:1,98,86,1h 57m,win,014,대한항공
116,2017.12.31,한국전력,0:3,68,76,1h 25m,lose,014,대한항공
170,2018.02.10,한국전력,3:1,102,87,1h 57m,win,014,대한항공
190,2018.02.22,한국전력,3:2,107,105,2h 15m,win,014,대한항공
16,2017.10.24,OK금융그룹,3:1,97,92,1h 50m,win,014,대한항공
58,2017.11.21,OK금융그룹,1:3,100,108,2h 05m,lose,014,대한항공
94,2017.12.16,OK금융그룹,3:2,118,109,2h 13m,win,014,대한항공
125,2018.01.06,OK금융그룹,3:1,98,84,1h 50m,win,014,대한항공
157,2018.02.01,OK금융그룹,3:0,76,63,1h 22m,win,014,대한항공
207,2018.03.07,OK금융그룹,2:3,96,108,2h 02m,lose,014,대한항공
9,2017.10.19,우리카드,3:1,97,76,1h 45m,win,014,대한항공
62,2017.11.24,우리카드,3:0,79,70,1h 32m,win,014,대한항공
101,2017.12.21,우리카드,3:2,109,97,2h 03m,win,014,대한항공
132,2018.01.10,우리카드,0:3,62,75,1h 24m,lose,014,대한항공
164,2018.02.06,우리카드,3:2,99,105,2h 02m,win,014,대한항공
212,2018.03.11,우리카드,0:3,55,76,1h 15m,lose,014,대한항공
36,2017.11.07,대한항공,3:0,75,61,1h 22m,win,014,삼성화재
41,2017.11.10,대한항공,3:2,111,100,2h 09m,win,014,삼성화재
73,2017.12.02,대한항공,3:2,113,104,2h 08m,win,014,삼성화재
112,2017.12.28,대한항공,2:3,98,110,2h 07m,lose,014,삼성화재
145,2018.01.24,대한항공,0:3,54,75,1h 16m,lose,014,삼성화재
195,2018.02.27,대한항공,0:3,59,76,1h 25m,lose,014,삼성화재
218,2018.03.18,대한항공,3:1,99,92,1h 59m,win,014,삼성화재
220,2018.03.20,대한항공,1:3,85,99,1h 53m,lose,014,삼성화재
222,2018.03.22,대한항공,1:3,97,105,2h 10m,lose,014,삼성화재
3,2017.10.15,KB손해보험,2:3,103,106,2h 00m,lose,014,삼성화재
60,2017.11.22,KB손해보험,3:2,106,108,2h 07m,win,014,삼성화재
93,2017.12.15,KB손해보험,3:1,94,76,1h 40m,win,014,삼성화재
127,2018.01.07,KB손해보험,3:1,91,88,1h 47m,win,014,삼성화재
172,2018.02.11,KB손해보험,1:3,88,97,1h 49m,lose,014,삼성화재
191,2018.02.23,KB손해보험,3:0,75,66,1h 19m,win,014,삼성화재
30,2017.11.03,현대캐피탈,3:1,105,95,2h 03m,win,014,삼성화재
49,2017.11.15,현대캐피탈,3:0,75,64,1h 21m,win,014,삼성화재
80,2017.12.06,현대캐피탈,0:3,61,75,1h 16m,lose,014,삼성화재
118,2018.01.01,현대캐피탈,1:3,88,97,1h 49m,lose,014,삼성화재
180,2018.02.16,현대캐피탈,2:3,121,129,2h 34m,lose,014,삼성화재
186,2018.02.20,현대캐피탈,3:2,103,105,2h 06m,win,014,삼성화재
23,2017.10.29,한국전력,3:0,75,52,1h 18m,win,014,삼성화재
53,2017.11.18,한국전력,3:0,83,70,1h 29m,win,014,삼성화재
85,2017.12.10,한국전력,1:3,90,101,1h 55m,lose,014,삼성화재
