한국도로공사,상대전적,KGC인삼공사,시즌,흥국생명,GS 칼텍스,IBK 기업은행,페퍼저축은행
,VS 구단 선택 한국도로공사 KGC인삼공사,,014,,,,
1위(21승 9패),* 상대전적 : 61승 55패 * 시즌전적 : 4승 2패,5위(12승 18패),014,,,,
,VS 구단 선택 한국도로공사 흥국생명,,014,,,,
1위(21승 9패),* 상대전적 : 62승 63패 * 시즌전적 : 6승 0패,,014,6위(8승 22패),,,
,VS 구단 선택 한국도로공사 GS 칼텍스,,014,,,,
1위(21승 9패),* 상대전적 : 56승 58패 * 시즌전적 : 4승 2패,,014,,4위(14승 16패),,
,VS 구단 선택 한국도로공사 IBK기업은행,,014,,,,
1위(21승 9패),* 상대전적 : 40승 30패 * 시즌전적 : 6승 3패,,014,,,2위(21승 9패),
,VS 구단 선택 한국도로공사 페퍼저축은행,,014,,,,
1위(21승 9패),* 상대전적 : 5승 0패 * 시즌전적 : 0승 0패,,014,,,,0위(0승 0패)
,VS 구단 선택 KGC인삼공사 한국도로공사,,014,,,,
1위(21승 9패),* 상대전적 : 55승 61패 * 시즌전적 : 2승 4패,5위(12승 18패),014,,,,
,VS 구단 선택 KGC인삼공사 흥국생명,,014,,,,
,* 상대전적 : 50승 61패 * 시즌전적 : 3승 3패,5위(12승 18패),014,6위(8승 22패),,,
,VS 구단 선택 KGC인삼공사 GS 칼텍스,,014,,,,
,* 상대전적 : 57승 60패 * 시즌전적 : 2승 4패,5위(12승 18패),014,,4위(14승 16패),,
,VS 구단 선택 KGC인삼공사 IBK기업은행,,014,,,,
,* 상대전적 : 21승 48패 * 시즌전적 : 1승 5패,5위(12승 18패),014,,,2위(21승 9패),
,VS 구단 선택 KGC인삼공사 페퍼저축은행,,014,,,,
,* 상대전적 : 6승 0패 * 시즌전적 : 0승 0패,5위(12승 18패),014,,,,0위(0승 0패)
,VS 구단 선택 흥국생명 한국도로공사,,014,,,,
1위(21승 9패),* 상대전적 : 63승 62패 * 시즌전적 : 0승 6패,,014,6위(8승 22패),,,
,VS 구단 선택 흥국생명 KGC인삼공사,,014,,,,
,* 상대전적 : 61승 50패 * 시즌전적 : 3승 3패,5위(12승 18패),014,6위(8승 22패),,,
,VS 구단 선택 흥국생명 GS 칼텍스,,014,,,,
,* 상대전적 : 61승 61패 * 시즌전적 : 2승 4패,,014,6위(8승 22패),4위(14승 16패),,
,VS 구단 선택 흥국생명 IBK기업은행,,014,,,,
,* 상대전적 : 27승 46패 * 시즌전적 : 1승 5패,,014,6위(8승 22패),,2위(21승 9패),
,VS 구단 선택 흥국생명 페퍼저축은행,,014,,,,
,* 상대전적 : 4승 1패 * 시즌전적 : 0승 0패,,014,6위(8승 22패),,,0위(0승 0패)
,VS 구단 선택 GS 칼텍스 한국도로공사,,014,,,,
1위(21승 9패),* 상대전적 : 58승 56패 * 시즌전적 : 2승 4패,,014,,4위(14승 16패),,
,VS 구단 선택 GS 칼텍스 KGC인삼공사,,014,,,,
,* 상대전적 : 60승 57패 * 시즌전적 : 4승 2패,5위(12승 18패),014,,4위(14승 16패),,
,VS 구단 선택 GS 칼텍스 흥국생명,,014,,,,
,* 상대전적 : 61승 61패 * 시즌전적 : 4승 2패,,014,6위(8승 22패),4위(14승 16패),,
,VS 구단 선택 GS 칼텍스 IBK기업은행,,014,,,,
,* 상대전적 : 31승 42패 * 시즌전적 : 1승 5패,,014,,4위(14승 16패),2위(21승 9패),
,VS 구단 선택 GS 칼텍스 페퍼저축은행,,014,,,,
,* 상대전적 : 5승 0패 * 시즌전적 : 0승 0패,,014,,4위(14승 16패),,0위(0승 0패)
