날짜,순번,구분,홈,원정,시간,구장,생중계,라운드,비고,승패,시즌,경기날짜
2017-10-14,2.0,여자,IBK기업은행,흥국생명,16:00,화성종합실내,SBS Sports,V리그 1Round,하이라이트 상세결과,1,014,10. 14 (토)
2017-10-15,4.0,여자,KGC인삼공사,현대건설,16:00,대전충무,SBS Sports,V리그 1Round,하이라이트 상세결과,0,014,10. 15 (일)
2017-10-17,5.0,여자,한국도로공사,GS칼텍스,17:00,김천실내,KBSN Sports,V리그 1Round,하이라이트 상세결과,0,014,10. 17 (화)
2017-10-18,7.0,여자,IBK기업은행,현대건설,17:00,화성종합실내,SBS Sports,V리그 1Round,하이라이트 상세결과,0,014,10. 18 (수)
2017-10-21,12.0,여자,흥국생명,KGC인삼공사,16:00,인천계양,KBSN Sports,V리그 1Round,하이라이트 상세결과,1,014,10. 21 (토)
2017-10-22,14.0,여자,한국도로공사,IBK기업은행,16:00,김천실내,KBSN Sports,V리그 1Round,하이라이트 상세결과,0,014,10. 22 (일)
2017-10-24,15.0,여자,KGC인삼공사,GS칼텍스,17:00,대전충무,SBS Sports,V리그 1Round,하이라이트 상세결과,1,014,10. 24 (화)
2017-10-25,17.0,여자,현대건설,흥국생명,17:00,수원,SBS Sports,V리그 1Round,하이라이트 상세결과,1,014,10. 25 (수)
2017-10-28,22.0,여자,현대건설,GS칼텍스,16:00,수원,SBS Sports,V리그 1Round,하이라이트 상세결과,1,014,10. 28 (토)
2017-10-29,24.0,여자,KGC인삼공사,한국도로공사,16:00,대전충무,SBS Sports,V리그 1Round,하이라이트 상세결과,1,014,10. 29 (일)
2017-10-31,25.0,여자,GS칼텍스,IBK기업은행,17:02,서울장충,KBSN Sports,V리그 1Round,하이라이트 상세결과,0,014,10. 31 (화)
2017-11-01,27.0,여자,흥국생명,한국도로공사,17:00,인천계양,KBSN Sports,V리그 1Round,하이라이트 상세결과,0,014,11. 01 (수)
